date,area_name,cases_7d,pred
2020-11-11,East Midlands,2402.5714285714284,16314.23434004849
2020-11-12,East Midlands,2398.0,16121.872716499853
2020-11-13,East Midlands,2374.714285714286,15907.381525176068
2020-11-14,East Midlands,2367.285714285714,17797.9271358012
2020-11-15,East Midlands,2277.5714285714284,18238.078569732756
2020-11-16,East Midlands,2217.1428571428573,16154.676427190905
2020-11-17,East Midlands,2138.0,16045.973129362801
2020-11-18,East Midlands,2019.857142857143,16021.197968008632
2020-11-19,East Midlands,1922.2857142857144,15827.547221688654
2020-11-20,East Midlands,1825.571428571429,15620.79639182801
2020-11-21,East Midlands,1736.2857142857142,17958.652629008757
2020-11-22,East Midlands,1680.2857142857142,18676.21435666247
2020-11-23,East Midlands,1543.857142857143,15961.732925012375
2020-11-24,East Midlands,1449.0,15874.206825516128
2020-11-25,East Midlands,1376.857142857143,15988.680639608603
2020-11-26,East Midlands,1329.571428571429,15787.467928388935
2020-11-27,East Midlands,1276.142857142857,15657.331762025844
2020-11-28,East Midlands,1245.142857142857,17953.937071449545
2020-11-29,East Midlands,1213.2857142857142,18685.405677174807
2020-11-30,East Midlands,1185.428571428571,15902.00301075886
2020-12-01,East Midlands,1157.142857142857,16109.463414358168
2020-12-02,East Midlands,1145.571428571429,16881.341878685584
2020-12-03,East Midlands,1156.0,16503.94362820905
2020-12-04,East Midlands,1151.428571428571,16132.757454045457
2020-12-05,East Midlands,1148.571428571429,20437.71651076441
2020-12-06,East Midlands,1170.857142857143,20794.46442714071
2020-12-07,East Midlands,1189.571428571429,16945.19147544551
2020-12-08,East Midlands,1209.857142857143,17152.208336898326
2020-12-09,East Midlands,1229.571428571429,17164.992986013465
2020-12-10,East Midlands,1257.142857142857,16735.450380233953
2020-12-11,East Midlands,1307.142857142857,16624.279564205757
2020-12-12,East Midlands,1330.857142857143,20573.172616354008
2020-12-13,East Midlands,1344.2857142857142,20444.901120194158
2020-12-14,East Midlands,1411.857142857143,16687.841842147594
2020-12-15,East Midlands,1461.2857142857142,16523.85279940088
2020-12-16,East Midlands,1503.428571428571,16471.662917937687
2020-12-17,East Midlands,1539.571428571429,16052.257162775522
2020-12-18,East Midlands,1579.142857142857,14815.992751246527
2020-12-19,East Midlands,1626.0,19646.52770043203
2020-12-20,East Midlands,1719.142857142857,20881.891865836085
2020-12-21,East Midlands,1770.2857142857142,12443.948114923305
2020-12-22,East Midlands,1818.857142857143,11549.971433724053
2020-12-23,East Midlands,1867.142857142857,10276.245115811102
2020-12-24,East Midlands,1831.4285714285716,7074.368942480375
2020-12-25,East Midlands,1686.857142857143,2603.251533355812
2020-12-26,East Midlands,1762.7142857142858,7876.1616895802945
2020-12-27,East Midlands,1867.4285714285716,11490.006038262469
2020-12-28,East Midlands,1884.142857142857,3696.747919412346
2020-12-29,East Midlands,2162.1428571428573,4715.964775340393
2020-12-30,East Midlands,2395.0,4634.612299792587
2020-12-31,East Midlands,2618.285714285714,3666.5642629015438
2021-01-01,East Midlands,2759.1428571428573,1716.7304285949454
2021-01-02,East Midlands,2987.0,6126.8458216221015
2021-01-03,East Midlands,3075.8571428571427,6861.203433311787
2021-01-04,East Midlands,3340.428571428572,5319.305931078803
2021-01-05,East Midlands,3275.0,4905.60937569841
2021-01-06,East Midlands,3219.428571428572,4723.309776047749
2021-01-07,East Midlands,3222.0,4447.001055027332
2021-01-08,East Midlands,3390.285714285714,4286.089389026777
2021-01-09,East Midlands,3233.1428571428573,5128.580273412496
2021-01-10,East Midlands,3113.0,5200.03970140533
2021-01-11,East Midlands,3004.714285714286,3951.414461250517
2021-01-12,East Midlands,2967.1428571428573,3723.8597543160977
2021-01-13,East Midlands,2911.1428571428573,3541.185288608898
2021-01-14,East Midlands,2887.0,3215.9693597162736
2021-01-15,East Midlands,2876.5714285714284,3110.180647038204
2021-01-16,East Midlands,2837.285714285714,3749.8984040705573
2021-01-17,East Midlands,2826.285714285714,3885.68396942814
2021-01-18,East Midlands,2783.0,2896.7384860954876
2021-01-19,East Midlands,2775.8571428571427,2714.977384034999
2021-01-20,East Midlands,2758.1428571428573,2584.6515588709904
2021-01-21,East Midlands,2728.428571428572,2465.8267373286103
2021-01-22,East Midlands,2666.5714285714284,2403.6697071028134
2021-01-23,East Midlands,2621.0,2887.606006468285
2021-01-24,East Midlands,2493.285714285714,2708.853805832947
2021-01-25,East Midlands,2320.714285714286,1848.0303040040187
2021-01-26,East Midlands,2190.714285714286,1953.540586069451
2021-01-27,East Midlands,2123.428571428572,1954.357834707701
2021-01-28,East Midlands,2064.285714285714,1845.3751774635352
2021-01-29,East Midlands,2000.7142857142856,1796.775003177447
2021-01-30,East Midlands,1960.571428571429,2136.5938154684577
2021-01-31,East Midlands,1983.2857142857144,2235.087486293699
2021-02-01,East Midlands,1983.4285714285716,1633.0946052755853
2021-02-02,East Midlands,1915.7142857142856,1538.4678864860282
2021-02-03,East Midlands,1846.7142857142856,1506.8520460267557
2021-02-04,East Midlands,1772.857142857143,1421.6252923420552
2021-02-05,East Midlands,1711.0,1379.4206758758262
2021-02-06,East Midlands,1660.857142857143,1661.0868645050284
2021-02-07,East Midlands,1621.571428571429,1650.4446088008558
2021-02-08,East Midlands,1562.2857142857142,1157.9243324083932
2021-02-09,East Midlands,1493.2857142857142,1110.1510637601305
2021-02-10,East Midlands,1425.142857142857,1112.2242204252434
2021-02-11,East Midlands,1378.857142857143,1067.290245760167
2021-02-12,East Midlands,1355.571428571429,1026.8546450290178
2021-02-13,East Midlands,1324.2857142857142,1254.0742509323584
2021-02-14,East Midlands,1295.7142857142858,1270.8715292793954
2021-02-15,East Midlands,1301.0,863.5301279857423
2021-02-16,East Midlands,1290.7142857142858,821.6763569014289
2021-02-17,East Midlands,1291.0,785.6399318122997
2021-02-18,East Midlands,1269.142857142857,741.6962408789896
2021-02-19,East Midlands,1244.7142857142858,707.8215582983926
2021-02-20,East Midlands,1227.7142857142858,958.2009688833718
