date,obs_sum,uncoupled,coupled
2020-11-05,20060.285714285714,177348.61048254234,179776.3000849732
2020-11-06,20239.714285714286,176839.3310102395,179215.20406138472
2020-11-07,20572.14285714286,211566.74362279382,212280.3077371721
2020-11-08,21243.0,212106.52490340563,213235.99890321103
2020-11-09,21271.714285714283,178052.3216601831,180890.8849928229
2020-11-10,21581.428571428572,176408.6489749025,179395.72318912882
2020-11-11,22157.285714285714,176729.30134008432,179792.25537876063
2020-11-12,22321.285714285717,173573.23547227177,177022.21343043126
2020-11-13,22441.857142857145,174213.86491865877,177565.62489332192
2020-11-14,22358.285714285714,202886.5197366491,205151.36797302827
2020-11-15,21806.714285714283,205482.06081736108,208362.46036866758
2020-11-16,21175.14285714286,173148.78481350106,177060.5065012562
2020-11-17,20580.142857142862,170860.85090214375,174976.89302957105
2020-11-18,19649.285714285717,170542.22817139397,174700.73083420232
2020-11-19,18720.571428571428,166845.31495559486,171216.90149034056
2020-11-20,17718.714285714286,166401.74671298935,170628.28197499845
2020-11-21,16936.285714285714,201060.44827118545,204723.30443192707
2020-11-22,16337.42857142857,203941.9395299448,208097.40891046537
2020-11-23,15247.000000000002,167469.55752764188,172230.68968185433
2020-11-24,14338.0,164838.6749005496,169829.4304603429
2020-11-25,13717.857142857141,165771.60559715366,170820.18921429812
2020-11-26,13241.428571428572,162472.2456035961,167643.7652207697
2020-11-27,12881.714285714284,160394.55370006687,165492.32412571166
2020-11-28,12675.0,196557.70984911994,201398.60603759397
2020-11-29,12509.0,198220.88741159107,203544.73000740763
2020-11-30,12329.0,163391.9270661471,168954.83873178982
2020-12-01,12250.285714285716,164925.65521792579,170675.50615384523
2020-12-02,12173.571428571431,176263.33054542955,182215.51397178977
2020-12-03,12215.142857142859,171681.58774844557,177691.96762103896
2020-12-04,12301.571428571428,172353.1893706611,178281.18520233408
2020-12-05,12435.000000000002,233413.6473241761,239985.7608635007
2020-12-06,12718.285714285714,239009.86966073912,245819.68847800017
2020-12-07,13063.857142857145,178352.11192394572,184786.50450009812
2020-12-08,13517.857142857143,180797.4313335992,187538.8691594791
2020-12-09,14099.142857142857,180523.2924952572,187159.4169142061
2020-12-10,14957.0,176719.01631352497,183265.18961345934
2020-12-11,15968.714285714286,177215.5717980739,183789.83280695693
2020-12-12,16816.285714285714,236669.3708553748,244478.66531054492
2020-12-13,17863.428571428572,236025.03868403763,243730.1022897221
2020-12-14,19611.285714285714,176933.41880522599,183676.7444737762
2020-12-15,21415.142857142855,175702.5324750331,182444.90985511531
2020-12-16,23239.999999999996,172274.76086989522,178748.67553720533
2020-12-17,24846.428571428576,167355.04904502345,173646.5593890538
2020-12-18,26568.142857142855,156227.73657425342,161936.2249923375
2020-12-19,27394.857142857145,219570.13168486345,227103.2085896274
2020-12-20,28972.571428571428,221592.6162587887,229302.97680634476
2020-12-21,30865.57142857143,126349.94486582684,130934.23085861081
2020-12-22,32573.714285714286,117101.79037958085,121278.76317842578
2020-12-23,33662.142857142855,105161.71883067394,108773.67743686923
2020-12-24,33536.142857142855,74077.69315295802,76593.51923339801
2020-12-25,30793.000000000004,28371.90389317276,29414.230647489796
2020-12-26,32979.71428571428,82714.92610200765,85599.9091466605
2020-12-27,34931.857142857145,121920.62992911383,126147.78294481702
2020-12-28,34577.0,37234.92680302689,38536.85077026667
