date,obs_cases_7d,vax observed,vax none,vax +20%,mobility observed,mobility baseline,mobility extra 20% cut
2021-06-29,17206.428571428572,2.163009503092766e-05,0.09727368578196202,3.0975131576286744e-06,2.163009503092766e-05,0.26997518313437313,1.5350425278193088e-07
2021-06-30,18511.42857142857,1.964743014658263e-05,0.0955072820029985,2.7579434850645346e-06,1.964743014658263e-05,0.24152773208329162,1.384330014980579e-07
2021-07-01,19823.285714285717,1.7712417022826135e-05,0.09318750116049082,2.4360065006081704e-06,1.7712417022826135e-05,0.21593937536037952,1.239011711553954e-07
2021-07-02,20878.42857142857,1.607876434576539e-05,0.09161197432910106,2.1666693108143766e-06,1.607876434576539e-05,0.19307644092964932,1.1166263344153507e-07
2021-07-03,21900.14285714286,1.847889546283925e-05,0.11530682926314866,2.433687632005765e-06,1.847889546283925e-05,0.17254436145025168,1.2726507408339738e-07
2021-07-04,22814.285714285717,1.7164007396055814e-05,0.11856985493992928,2.2062656095226905e-06,1.7164007396055814e-05,0.15436526954863547,1.171018432916479e-07
2021-07-05,23772.0,1.1477513009446906e-05,0.08666210267015324,1.4457522244157264e-06,1.1477513009446906e-05,0.13838616227346817,7.767381835293375e-08
2021-07-06,24968.714285714286,1.0269909835134272e-05,0.08369754320057174,1.2703768839434012e-06,1.0269909835134272e-05,0.12400556508178685,6.901438871562741e-08
2021-07-07,26444.85714285714,9.275800106861477e-06,0.08165750658721617,1.1263296420160234e-06,9.275800106861477e-06,0.11104480068456585,6.190060462148623e-08
2021-07-08,27253.714285714286,8.216429557158233e-06,0.0781667354410586,9.789848625704678e-07,8.216429557158233e-06,0.09936811419068396,5.445321628807258e-08
2021-07-09,28219.85714285714,7.513896607347419e-06,0.07730696925393474,8.782347265522911e-07,7.513896607347419e-06,0.08887997678397144,4.9454671396157216e-08
2021-07-10,28901.714285714286,8.731003231974297e-06,0.09830263218493207,9.985091552331519e-07,8.731003231974297e-06,0.07947484003625384,5.7004089395293346e-08
2021-07-11,29703.42857142857,8.42720329168772e-06,0.10518349813835141,9.414835246596779e-07,8.42720329168772e-06,0.07116764324624207,5.450844865408102e-08
2021-07-12,31169.42857142857,5.061867179376954e-06,0.06899908084705036,5.548114689314954e-07,5.061867179376954e-06,0.06382609808058817,3.2487467603829014e-08
