beta,gamma,I0,peak_prev,attack_rate
0.12229792293190087,0.17215355831423917,13742.91834455196,0.0002430218356770758,0.007014723617065011
0.19869727525524739,0.09591636166573289,2737.729139675282,0.1625219302849137,0.8126343484967408
0.14873911359516478,0.10226567290114161,10908.786740018493,0.0530883676332492,0.4784016316955433
0.23379184261187175,0.0722305704698118,8112.037533648185,0.32390227301082175,0.9537092297784608
0.2483049914796383,0.2562685223616337,21315.9856130414,0.00037693958612517267,0.01434165330156889
0.21458661860410427,0.09073559788052823,9668.885971800883,0.2097041472454319,0.8716066863333237
0.161921983009977,0.08357896951888533,11210.730683198892,0.1395957111229524,0.7730010221507841
0.10691631040897118,0.21201430920856745,3640.478983822667,6.437612908783117e-05,0.006318238846067192
0.1744534014108733,0.20378244107833793,6218.281071423729,0.00010996049331345097,0.006922915402552854
0.1463215572337263,0.24430166099254974,8789.074813191977,0.0001554209259965374,0.006573019316503226
0.20463390193785802,0.18949671332468537,19562.58548204737,0.002567311532772367,0.058916957628040834
0.22709083979730843,0.2132199015331586,18231.754823630254,0.001800568949378042,0.051483691418105715
0.18516471033164902,0.17156029393964334,2803.4653234690877,0.0005456422751556105,0.013989793261090622
0.2670936381483022,0.2373369540380475,13886.413995801442,0.005997380758551576,0.16074119870533776
0.11730075650826766,0.11273656697214009,9393.356904280005,0.0003361445119102042,0.012024506658832368
0.19926016285181836,0.08203715079974631,12088.651940625821,0.21933273316439372,0.8812835525985251
0.20302495929349246,0.08461261741809346,23077.594419293095,0.2150360557269078,0.877000761434544
0.14235314762880497,0.15783162024330055,14579.548716295598,0.00025781632427308306,0.00856901593240611
0.21719781995959753,0.0828573160946996,21784.48939308349,0.24718428147527227,0.9060701568751557
0.20092649471607577,0.07730674702063964,10446.679295904181,0.2440173019129986,0.9034151964785244
0.23238922802692852,0.1171429119911224,10781.751157540202,0.14760780991014166,0.7901940588775787
0.26900368142000797,0.16798566984283161,5037.592809788125,0.07921228360391303,0.639565142773364
0.20590029748666294,0.19454871991916722,6022.209675712778,0.0006582883550366067,0.019144843492057806
0.2140210145342829,0.20724992606291404,4810.950842508604,0.00022514525838292674,0.012513104030123179
0.15367858099839832,0.17398175621378248,17723.936173488728,0.00031341985714497685,0.008699025373210212
0.24824365829880868,0.12579381033144757,21699.646311413377,0.14591350033108857,0.7873520017269874
0.10769778828842788,0.12335970755202665,17120.54951927139,0.0003027499158228648,0.008385392572631933
0.2470349684248918,0.14367556147633004,10588.473519872534,0.10071875165234419,0.6970208349283047
0.08659503310091707,0.1443638728731368,18276.238244249038,0.00032318644817894236,0.006988743601396341
0.1668177645502838,0.10805750235164446,14219.980347375706,0.06895315816394572,0.5932044488766389
0.23656528305505492,0.1507096420972419,4093.1943806584814,0.07350112221965459,0.621246987741862
0.19239935737615776,0.07454687365948598,9572.997002054037,0.24140538709300555,0.9011936085570393
0.13835211354145216,0.18434649466916475,10496.21389242187,0.0001856089881234573,0.006918495405798919
0.17226220862664735,0.16013813749956046,14438.64775203806,0.0016527750170353438,0.033695479918175675
0.14760660834942307,0.14261468404150957,19760.26311872571,0.0006442371396188252,0.021081681773789773
0.1415995954727552,0.23592989440651646,11664.278171815731,0.00020626436264073716,0.006700065359482199
0.12109042618149757,0.18590945841310796,12596.982593450022,0.0002227577692816598,0.006820295318827219
0.22131194397617038,0.08920111871996075,22877.567700172825,0.22708419646155448,0.8887685002121636
0.09542572560381855,0.22495417103484305,9011.132613489814,0.00015934766796660716,0.006464639643726677
0.2313345568220332,0.12675227278309786,15245.702210228146,0.11977126294138628,0.7392636761933482
0.22958779620960595,0.14172800083561074,18523.46529834718,0.0827371699635275,0.6494507386137174
0.2339761344306061,0.1138154874825412,22571.90062060688,0.16002724245753153,0.8094477884918999
0.19577879168993734,0.09688867424186973,20280.28005727719,0.1540497229420392,0.80010855673762
0.25044165101483384,0.22057837116470286,9907.589780004684,0.006844291951982279,0.1511271585919931
0.08282711811610427,0.11461286904243681,11888.073417143638,0.0002102218285858761,0.006933443538984618
0.19812784973197684,0.10498105356717702,16510.914644122568,0.13085309134816384,0.7604800458010494
0.08424766279262065,0.21517326613836615,14048.038680195368,0.0002484174075790119,0.006595761509330722
0.11354678034797663,0.1319458192698315,16280.61693915683,0.0002878970328800405,0.008129048790873061
0.2577199698902437,0.17871750933896813,15651.802456399908,0.050994785350489215,0.5392587689392627
0.23852758105979843,0.14924161214478043,6171.841756477244,0.07868519802059794,0.6375914238378181
0.2404075340419991,0.23971309416000344,22720.12451008992,0.0004017695679202396,0.021945336148637584
0.08093789769685641,0.18209810077399446,21079.951583105947,0.00037276569657718515,0.006856629278578552
0.2604851333111311,0.16550872340565764,5006.916358431732,0.07425603501640123,0.6242417863924958
0.14030934099209463,0.1620788505272944,16582.94457598718,0.0002932432203080951,0.008255011967529868
0.2071375476604999,0.16477178705046636,13610.570128468433,0.02145045985119983,0.3384463755722924
0.2752350610094052,0.23559705843282294,19212.927335893015,0.010325068619253757,0.2540301748369276
