date,cases,cases_7d,sir,seir,seirs
2021-03-09,5488.0,4837.0,29322.072533985563,29220.85639893753,29114.403095761878
2021-03-10,5222.0,4825.142857142857,29415.572111541118,29436.653267149875,29334.10252316725
2021-03-11,4848.0,4801.857142857143,29506.895391740018,29652.528819084022,29554.084595501874
2021-03-12,4767.0,4807.428571428572,29596.013897768746,29868.450457632738,29774.32072283647
2021-03-13,3592.0,4773.142857142857,29682.89976422667,30084.38510168898,29994.781838464914
2021-03-14,3707.0,4777.428571428572,29767.52575558633,30300.29919124571,30215.438401907704
2021-03-15,5643.0,4752.428571428572,29849.86528431353,30516.15869286974,30436.260402232332
2021-03-16,4933.0,4673.142857142857,29929.892428626743,30731.92910555361,30657.21736169515
2021-03-17,5048.0,4648.285714285715,30007.581949875566,30947.5754669498,30878.278339709486
2021-03-18,4689.0,4625.571428571428,30082.909309518185,31163.062359990854,31099.411937144247
2021-03-19,4333.0,4563.571428571428,30155.850685678328,31378.35391989886,31320.58630095732
2021-03-20,3514.0,4552.428571428572,30226.382989262493,31593.41384158741,31541.769129167686
2021-03-21,4679.0,4691.285714285715,30294.48387961856,31808.205387458995,31762.927676170104
2021-03-22,5400.0,4656.571428571428,30360.13177971766,32022.69139560013,31984.02875839565
2021-03-23,4566.0,4604.142857142857,30423.305890841355,32236.8342883766,32205.03876032175
2021-03-24,5321.0,4643.142857142857,30483.98620675691,32450.596081430424,32425.92364083439
2021-03-25,4674.0,4641.0,30542.15352736383,32663.93839308019,32646.64893994541
2021-03-26,3803.0,4565.285714285715,30597.789471795742,32876.82245412566,32867.17978586745
2021-03-27,3136.0,4511.285714285715,30650.87649096188,33089.20911805754,33087.48090244849
2021-03-28,4477.0,4482.428571428572,30701.39787951337,33301.05887167252,33307.51661696818
2021-03-29,3422.0,4199.857142857143,30749.337787220244,33512.331846093635,33527.25086829733
2021-03-30,3135.0,3995.428571428572,30794.681229745554,33722.98782819538,33746.647215421865
2021-03-31,3340.0,3712.428571428572,30837.414098803853,33932.98627243264,33965.668846332344
2021-04-01,3067.0,3482.8571428571427,30877.523171692064,34142.28631307207,34184.278587279456
2021-04-02,2248.0,3260.714285714286,30914.996120181473,34350.846776824124,34402.43891239581
2021-04-03,2121.0,3115.714285714286,30949.821518760375,34558.62619587341,34620.111953684114
2021-04-04,2042.0,2767.8571428571427,30981.98885221779,34765.58282130474,34837.25951137095
2021-04-05,2314.0,2609.5714285714284,31011.48852255933,34971.67463692166,35053.843064625646
2021-04-06,2756.0,2555.428571428572,31038.311855247375,35176.85937345367,35269.82378264283
2021-04-07,2752.0,2471.428571428572,31062.45110475835,35381.09452314818,35485.162536087206
2021-04-08,2651.0,2412.0,31083.899459450902,35584.337354742485,35699.819908898506
2021-04-09,2482.0,2445.428571428572,31102.651045739647,35786.54492881049,35913.756210454114
2021-04-10,2009.0,2429.428571428572,31118.700931569932,35987.67411347891,36126.931488086906
2021-04-11,2020.0,2426.285714285714,31132.04512919016,36187.68160050644,36339.30553995477
2021-04-12,2399.0,2438.428571428572,31142.68059721893,36386.52392171949,36550.8379282582
2021-04-13,2060.0,2339.0,31150.60524200522,36584.157465797405,36761.48799280228
2021-04-14,2068.0,2241.285714285714,31155.81791828093,36780.53849539925,36971.21486489796
2021-04-15,1959.0,2142.428571428572,31158.31842910558,36975.62316462435,37179.97748159833
2021-04-16,1963.0,2068.285714285714,31158.10752510441,37169.36753679778,37387.73460026426
2021-04-17,1398.0,1981.0,31155.186903001544,37361.72760257148,37594.44481345336
2021-04-18,2281.0,2018.2857142857144,31149.559203451157,37552.65929833165,37800.06656412669
2021-04-19,2268.0,1999.571428571429,31141.22800817018,37742.11852490196,38004.55816116587
2021-04-20,2112.0,2007.0,31130.19783637726,37930.061166532105,38207.87779519396
2021-04-21,2298.0,2039.857142857143,31116.47414054324,38116.44311016037,38409.98355469223
2021-04-22,2032.0,2050.285714285714,31100.06330145954,38301.22026493862,38610.833442405084
2021-04-23,1701.0,2012.857142857143,31080.972622631612,38484.34858200765,38810.38539202447
2021-04-24,1300.0,1998.857142857143,31059.21032400537,38665.78407450998,39008.5972851451
2021-04-25,1897.0,1944.0,31034.785535035444,38845.482837827345,39205.426968481
2021-04-26,2267.0,1943.857142857143,31007.708287104822,39023.40107002905,39400.8322713337
2021-04-27,1809.0,1900.571428571429,30977.989505306236,39199.49509251738,39594.77102330199
2021-04-28,2153.0,1879.857142857143,30945.64099959654,39373.72137085529,39787.201072222466
2021-04-29,1901.0,1861.142857142857,30910.675455335728,39546.03653576189,39978.08030232985
2021-04-30,1528.0,1836.4285714285716,30873.106423223384,39716.39740426011,40167.36665262597
2021-05-01,1210.0,1823.571428571429,30832.948308645704,39884.761000960956,40355.018135445025
2021-05-02,1305.0,1739.0,30790.21636044708,40051.08457946821,40540.99285520347
2021-05-03,1806.0,1673.142857142857,30744.926659140692,40215.32564388707,40725.24902732139
2021-05-04,2200.0,1729.0,30697.09610457347,40377.44197042003,40907.74499730282
2021-05-05,2203.0,1736.142857142857,30646.742403060933,40537.391629032645,41088.43925996131
2021-05-06,1967.0,1745.571428571429,30593.88405400838,40695.133005171745,41267.2904787772
2021-05-07,1657.0,1764.0,30538.540336035174,40850.62482151834,41444.25750537243
2021-05-08,1301.0,1777.0,30480.73129261931,41003.82615975706,41619.29939908861
2021-05-09,1985.0,1874.142857142857,30420.477717280195,41154.696482343716,41792.37544665353
2021-05-10,2325.0,1948.2857142857144,30357.801138317594,41303.19565425256,41963.44518192126
2021-05-11,1872.0,1901.4285714285716,30292.723803125486,41449.2839646842,42132.46840567021
2021-05-12,1869.0,1853.7142857142856,30225.26866209959,41592.92214871539,42299.40520544409
2021-05-13,1737.0,1820.857142857143,30155.459352157806,41734.071408871205,42464.21597541934
2021-05-14,1540.0,1804.142857142857,30083.32017989317,41872.69343660051,42626.86143628362
2021-05-15,1306.0,1804.857142857143,30008.876104378964,42008.75043363519,42787.302655108426
2021-05-16,1587.0,1748.0,29932.152719646012,42142.20513321332,42945.50106519991
2021-05-17,2341.0,1750.2857142857142,29853.176236852385,42273.02082114715,43101.41848591088
2021-05-18,2241.0,1803.0,29771.973466165695,42401.16135671556,43255.01714239724
2021-05-19,2261.0,1859.0,29688.571798378605,42526.59119336188,43406.25968530207
2021-05-20,2000.0,1896.571428571429,29602.999186277866,42649.2753991768,43555.10921035002
2021-05-21,1872.0,1944.0,29515.284125787603,42769.17967714715,43701.52927783492
2021-05-22,1606.0,1986.857142857143,29425.45563690738,42886.2703851508,43845.48393198349
2021-05-23,1918.0,2034.142857142857,29333.54324446563,43000.51455567772,43986.93772017754
2021-05-24,2750.0,2092.5714285714284,29239.57695870902,43111.87991525868,44125.85571201758
2021-05-25,2797.0,2172.0,29143.587255748116,43220.33490358129,44262.20351821039
2021-05-26,3179.0,2303.1428571428573,29045.605057879824,43325.84869227517,44395.94730926301
2021-05-27,3075.0,2456.714285714286,28945.66171380673,43428.39120334673,44527.0538339663
2021-05-28,2929.0,2607.714285714286,28843.78897877346,43527.933127245284,44655.49043765033
2021-05-29,2462.0,2730.0,28740.018994639817,43624.44594054191,44781.225080194694
2021-05-30,2598.0,2827.1428571428573,28634.38426991057,43717.901923202975,44904.22635377675
2021-05-31,3170.0,2887.1428571428573,28526.91765974095,43808.27417544055,45024.46350034068
2021-06-01,4515.0,3132.5714285714284,28417.652345937317,43895.536634122305,45141.90642877079
2021-06-02,5039.0,3398.285714285714,28306.621816971667,43979.664088723606,45256.525731752285
2021-06-03,5131.0,3692.0,28193.85984802844,44060.63219680547,45368.292702303464
2021-06-04,4886.0,3971.571428571429,28079.400481102013,44138.41749900168,45477.179349962746
2021-06-05,3964.0,4186.142857142857,27963.278005162458,44212.997433499746,45583.15841661516
2021-06-06,4730.0,4490.714285714285,27845.526936407216,44284.350349999804,45686.20339194219
2021-06-07,6791.0,5008.0,27726.181998615568,44352.45552313719,45786.28852848011
2021-06-08,6630.0,5310.142857142857,27605.278103622597,44417.29316535394,45883.38885627154
2021-06-09,6919.0,5578.714285714285,27482.85033192882,44478.8444392057,45977.48019709566
2021-06-10,6718.0,5805.428571428572,27358.933913461206,44537.09146909069,46068.53917826308
2021-06-11,6510.0,6037.428571428572,27233.564208500895,44592.01735238827,46156.54324596096
2021-06-12,5422.0,6245.714285714285,27106.776688792346,44643.60616999506,46241.470678135476
2021-06-13,6075.0,6437.857142857143,26978.6069188483,44691.842996247105,46323.30059689841
2021-06-14,8941.0,6745.0,26849.090537464333,44736.71390821769,46402.01298044508
2021-06-15,9153.0,7105.428571428572,26718.26323945624,44778.20599438045,46477.58867447196
2021-06-16,9411.0,7461.428571428572,26586.16075763312,44816.307362628635,46550.009403082055
2021-06-17,9523.0,7862.142857142857,26452.818845018413,44851.007147641794,46619.25777916703
2021-06-18,8772.0,8185.285714285715,26318.27325733052,44882.295517591905,46685.317314255684
2021-06-19,7127.0,8428.857142857143,26182.559735734245,44910.16368018186,46748.17242781858
2021-06-20,8203.0,8732.857142857143,26045.713989873813,44934.603888009704,46807.80845601952
2021-06-21,12707.0,9270.857142857143,25907.77168119733,44955.60944325309,46864.211659904875
2021-06-22,13563.0,9900.857142857143,25768.768406582454,44973.17470166867,46917.36923302262
2021-06-23,14806.0,10671.57142857143,25628.739682272226,44987.29507590273,46967.26930846347
2021-06-24,15084.0,11466.0,25487.720928129398,44997.96703810915,47013.90096531665
2021-06-25,14901.0,12341.57142857143,25345.7474522174,45005.18812187236,47057.25423453451
2021-06-26,13486.0,13250.0,25202.85443571512,45008.95692343347,47097.32010419966
