date,cases_7d,deaths,stringency,workplace_m,inc_filter,deaths_filter,inc_openloop,S,I,R,D,V,beta,Reff
2021-10-24,38682.142857142855,119.0,43.64,0.9332308773098248,36110.18213189444,370.3549667491328,23056.251560722318,8764330.678240845,183488.8131492257,6785945.136309746,130932.46309189433,40732609.0,1.2697990602031421,1.3775841185352826
2021-10-25,37353.71428571428,115.0,43.63,0.6077797691262603,35420.94399793641,370.6736540988556,22485.681919913786,8715446.261873035,183646.70373748915,6805813.215209408,131213.1760738597,40758670.0,1.251471700404042,1.3501282785885356
2021-10-26,36017.42857142857,132.0,43.63,0.61592818049397,34595.170411305335,370.3419657157228,21899.97662884925,8662243.182439959,183482.37191202276,6826122.669234557,131500.12517597567,40789376.0,1.230904687944289,1.3198335641488914
2021-10-27,34954.71428571428,134.0,43.63,0.61881131863588,33619.17517497801,368.68629819858705,21297.124329024206,8604611.554058285,182662.0873338096,6846486.143268807,131787.8375183267,40825600.0,1.2095979375989272,1.2883583542696508
2021-10-28,34454.0,154.0,43.63,0.6176630468297135,32835.05612011232,367.615387022969,20691.193891986193,8546504.645167459,182131.51467178424,6867260.388992331,132081.3535897454,40862160.0,1.1928828631953834,1.261974860610951
2021-10-29,34381.0,130.0,43.63,0.6205088086052999,31982.33239541031,364.6020017804029,20093.849513162448,8493861.324667236,180638.56187956643,6887458.050522927,132366.72319323802,40895044.0,1.1787675410988891,1.2393606572063658
2021-10-30,34166.142857142855,133.0,43.63,0.896181780208096,31266.600412580796,361.6000539752435,19506.09422201963,8444890.262915917,179151.27565592108,6907619.8836852955,132651.58658333664,40924555.0,1.1686929306537845,1.2216837535023823
2021-10-31,34090.857142857145,155.0,43.63,0.9295399819478768,30856.367004253756,360.0667011173631,18941.54161145814,8403256.86189715,178391.59070150807,6928189.618445755,132942.21315132402,40945785.0,1.1640092822731771,1.210788962531239
2021-11-01,33763.0,137.0,43.62,0.7106565669548126,30246.769555303556,357.0986764582575,18340.015864187688,8345545.559653431,176921.11137493863,6948283.777088177,133226.12037859365,40984538.0,1.1584526181077324,1.196733308092461
2021-11-02,33199.0,128.0,43.62,0.7340941693134675,29536.85112955703,353.121571669825,17731.929548804073,8284764.381578785,174950.69298469764,6968050.680685477,133505.403870509,41027389.0,1.1523967756712847,1.1818070244796557
2021-11-03,32180.714285714286,129.0,43.62,0.7357868390543829,28735.968128576984,348.4397329624555,17125.846583594575,8223919.39237514,172631.1209392301,6987671.325476554,133782.62089462185,41070924.0,1.144620624305317,1.1652115551682525
2021-11-04,31081.14285714286,121.0,43.62,0.7355865844681635,27789.55577905324,342.4441335807969,16525.989530582196,8164888.642419608,169660.6587787916,7006904.215770574,134054.35939613645,41113750.0,1.134446079760634,1.1465645120888188
2021-11-05,29711.14285714286,128.0,43.62,0.7372249227380806,26799.40794686632,335.99721064456816,15938.892418386758,8109370.4712486565,166466.59269560492,7026034.4173856275,134324.64702536675,41153382.0,1.1226506628735455,1.1269279474656853
2021-11-06,28902.285714285717,140.0,43.62,0.9109289200078674,25955.88880653712,330.02966689601277,15378.50377811662,8062836.508859029,163510.0304292746,7045175.873410389,134595.09366631496,41183736.0,1.1133643756756189,1.1111931247811095
2021-11-07,28314.14285714286,135.0,43.62,0.9416596006332848,25157.945006972037,323.6557607542862,14849.422600914822,8027744.4713336965,160352.1398160182,7063952.760135338,134860.3893646198,41203192.0,1.105199125634104,1.0982429997557943
2021-11-08,28096.285714285717,128.0,43.61,0.7308463615656597,24403.904467486303,317.28174591508764,14304.110148201422,7979343.024099637,157194.19534964274,7082310.198616841,135119.7587441692,41236396.0,1.1002448513954286,1.0867279856768095
2021-11-09,28575.0,126.0,43.61,0.7404757229450212,23886.220346822254,311.90502826719677,13761.40724760109,7927024.845885468,154530.3522034044,7100394.666780696,135375.27136880934,41273348.0,1.1026992762033325,1.082011009770236
2021-11-10,29431.285714285717,119.0,43.61,0.7420862188493768,23616.92044338567,307.5412145242724,13235.593064800954,7878514.892277868,152368.34257377294,7118131.930274684,135625.87839295657,41306545.0,1.1125456295118805,1.0849920679793226
2021-11-11,30334.285714285717,123.0,43.61,0.7444288675911483,23635.3017897347,304.97324022014067,12720.412446126253,7829494.742258947,151096.06435539544,7135801.078697072,135875.523029867,41339840.0,1.1298165495503936,1.0949796292442946
2021-11-12,31324.571428571428,119.0,43.61,0.7400534345446625,23856.080359108484,303.6687465715,12219.113001739977,7782236.147724325,150449.76549932553,7153264.606511488,136122.2624853026,41371587.0,1.1522237899416445,1.109955618471922
2021-11-13,32007.0,110.0,43.6,0.915889764718712,24153.853223086717,302.92410079201903,11735.401410288327,7739163.2822366785,150080.83789591608,7170426.439013871,136364.73933481734,41399787.0,1.1759824396262053,1.1265726853075355
2021-11-14,32600.14285714286,106.0,43.6,0.9464604591315118,24560.56657850966,302.90079959127286,11283.891016290438,7708754.5843154015,150069.29353968025,7187428.012551414,136604.95191042588,41415551.0,1.2005935129846084,1.1456305416944526
2021-11-15,33505.71428571428,137.0,43.6,0.7304442041064848,25331.399939437702,306.20137557996907,10827.069335494965,7664985.9599139625,151704.53223025496,7205114.492883614,136854.84142713185,41443135.0,1.2319212352197266,1.168849717073255
2021-11-16,34073.857142857145,130.0,43.6,0.7420342826439317,26068.797468165,309.6176589437841,10385.820960785613,7623771.376603872,153397.0970291293,7222701.774252824,137103.3293771579,41468534.0,1.2605720168679881,1.1896025792619975
2021-11-17,34483.42857142857,99.0,43.6,0.7462196502328082,26533.241140718477,311.32028200492255,9955.102763229595,7582367.190801582,154240.64528088103,7239657.283359295,137342.89111554815,41495285.0,1.282981303174031,1.2041747338828852
2021-11-18,34969.0,113.0,43.6,0.7469957492150474,27153.17447791639,314.4294249902429,9540.472104178642,7542558.105881716,155781.04032754476,7256985.622704247,137587.72051409533,41519402.0,1.3068357752981887,1.2201242265796244
