date,area_code,area_name,population,cases,cases_7d,deaths,admissions,hospital_occupancy,vax_first_dose,vax_second_dose,vax_third_dose,vax_first_cum,vax_second_cum,workplace_pct_england,workplace_m,transit_pct_england,transit_m,retail_pct_england,residential_pct_england,workplace_pct_gb,stringency,c4_gatherings,c6_stay_home,c7_movement,h7_vaccine_policy
2021-05-07,E92000001,England,56550138,1657.0,1764.0,10.0,77.0,973.0,110296.0,410454.0,64.0,28346383.0,13736268.0,-27.340398036012072,0.7265960196398793,-30.337354896565426,0.6966264510343457,-27.46538972723183,9.08537179195074,-29.0,59.72,4.0,0.0,1.0,4.0
2021-05-08,E92000001,England,56550138,1301.0,1777.0,10.0,80.0,948.0,140791.0,401152.0,60.0,28487174.0,14137420.0,-15.977544547719987,0.8402245545228001,-43.62121007647323,0.5637878992352676,-41.29118410828937,8.383560007244219,-16.0,59.72,4.0,0.0,1.0,4.0
2021-05-09,E92000001,England,56550138,1985.0,1874.142857142857,8.0,76.0,933.0,74951.0,154867.0,26.0,28562125.0,14292287.0,-9.695563938984991,0.9030443606101501,-30.883783321941216,0.6911621667805878,-29.10399191451823,4.31776980329612,-11.0,59.72,4.0,0.0,1.0,4.0
2021-05-10,E92000001,England,56550138,2325.0,1948.2857142857142,10.0,76.0,944.0,75229.0,178084.0,46.0,28637354.0,14470371.0,-29.543050078576396,0.7045694992142361,-32.951940749309166,0.6704805925069084,-24.592619661040715,9.619359295675086,-32.0,59.72,4.0,0.0,1.0,4.0
2021-05-11,E92000001,England,56550138,1872.0,1901.4285714285713,14.0,79.0,921.0,101414.0,305107.0,66.0,28738768.0,14775478.0,-28.967255876027806,0.7103274412397219,-32.9582036384668,0.670417963615332,-24.53514278119541,9.907052710122885,-31.0,59.72,4.0,0.0,1.0,4.0
2021-05-12,E92000001,England,56550138,1869.0,1853.7142857142858,10.0,93.0,907.0,154110.0,402270.0,82.0,28892878.0,15177748.0,-29.11229379782011,0.7088770620217989,-32.331848560795926,0.6766815143920407,-23.323716488190172,9.69246148588254,-31.0,59.72,4.0,0.0,1.0,4.0
2021-05-13,E92000001,England,56550138,1737.0,1820.857142857143,6.0,74.0,845.0,180639.0,375645.0,88.0,29073517.0,15553393.0,-30.3408201609956,0.696591798390044,-33.6679200916043,0.6633207990839569,-26.721944575891946,10.245897961687435,-32.0,59.72,4.0,0.0,1.0,4.0
2021-05-14,E92000001,England,56550138,1540.0,1804.142857142857,3.0,72.0,818.0,191446.0,339291.0,79.0,29264963.0,15892684.0,-28.053690526497544,0.7194630947350246,-29.94803091645197,0.7005196908354803,-26.806959122748598,9.204653387548126,-30.0,59.72,4.0,0.0,1.0,4.0
2021-05-15,E92000001,England,56550138,1306.0,1804.857142857143,8.0,70.0,810.0,215165.0,354620.0,67.0,29480128.0,16247304.0,-13.702485363888874,0.8629751463611113,-33.421989414094675,0.6657801058590532,-33.00329727127973,6.02649061464851,-15.0,59.72,4.0,0.0,1.0,4.0
2021-05-16,E92000001,England,56550138,1587.0,1748.0,7.0,59.0,801.0,109624.0,154407.0,28.0,29589752.0,16401711.0,-9.748438841859894,0.902515611581401,-32.47377169614012,0.6752622830385988,-31.79743078558868,4.706987148653815,-10.0,59.72,4.0,0.0,1.0,4.0
2021-05-17,E92000001,England,56550138,2341.0,1750.2857142857142,7.0,74.0,798.0,83391.0,200352.0,55.0,29673143.0,16602063.0,-28.183600317810843,0.7181639968218916,-27.019749694749695,0.729802503052503,-14.993351677562202,8.26264860870124,-30.0,62.5,4.0,0.0,2.0,4.0
2021-05-18,E92000001,England,56550138,2241.0,1803.0,3.0,90.0,749.0,158638.0,265027.0,50.0,29831781.0,16867090.0,-28.132458444739147,0.7186754155526085,-28.275123560649874,0.7172487643935013,-16.199707310233624,8.535709352376019,-30.0,62.5,4.0,0.0,2.0,4.0
2021-05-19,E92000001,England,56550138,2261.0,1859.0,3.0,93.0,757.0,242571.0,306477.0,79.0,30074352.0,17173567.0,-27.452460470004333,0.7254753952999566,-28.069005117689326,0.7193099488231067,-16.029959368117265,8.390142086633315,-29.0,62.5,4.0,0.0,2.0,4.0
2021-05-20,E92000001,England,56550138,2000.0,1896.5714285714287,6.0,98.0,749.0,240549.0,366814.0,74.0,30314901.0,17540381.0,-28.148962798085606,0.7185103720191439,-33.75549932523617,0.6624450067476383,-20.0768661163398,9.531520704766319,-30.0,62.5,4.0,0.0,2.0,4.0
2021-05-21,E92000001,England,56550138,1872.0,1944.0,9.0,85.0,766.0,194482.0,369531.0,73.0,30509383.0,17909912.0,-27.275569881710233,0.7272443011828977,-27.92320910084068,0.7207679089915933,-22.581930496404183,8.465527893159472,-29.0,62.5,4.0,0.0,2.0,4.0
2021-05-22,E92000001,England,56550138,1606.0,1986.857142857143,3.0,75.0,730.0,186809.0,520253.0,105.0,30696192.0,18430165.0,-8.699344628730593,0.9130065537126941,-24.033886435202223,0.7596611356479778,-21.120064097695675,2.831077402130034,-9.0,62.5,4.0,0.0,2.0,4.0
2021-05-23,E92000001,England,56550138,1918.0,2034.142857142857,8.0,77.0,756.0,104883.0,219705.0,42.0,30801075.0,18649870.0,-8.028058783321942,0.9197194121667805,-24.794234274497434,0.7520576572550257,-22.093052123315278,2.6646924712714184,-9.0,62.5,4.0,0.0,2.0,4.0
2021-05-24,E92000001,England,56550138,2750.0,2092.5714285714284,8.0,98.0,797.0,89324.0,257718.0,50.0,30890399.0,18907588.0,-28.843703372650744,0.7115629662734926,-29.933355387302754,0.7006664461269725,-17.31245508877088,8.631971115304449,-31.0,62.5,4.0,0.0,2.0,4.0
2021-05-25,E92000001,England,56550138,2797.0,2172.0,6.0,88.0,765.0,160106.0,321646.0,62.0,31050505.0,19229234.0,-28.091028513396935,0.7190897148660307,-31.619574723522092,0.6838042527647791,-16.746127994812205,8.942577289507113,-30.0,62.5,4.0,0.0,2.0,4.0
2021-05-26,E92000001,England,56550138,3179.0,2303.1428571428573,12.0,95.0,745.0,210349.0,365362.0,93.0,31260854.0,19594596.0,-27.47613968228003,0.7252386031771997,-30.300348627980206,0.6969965137201979,-15.08783307335939,8.560204269414795,-29.0,62.5,4.0,0.0,2.0,4.0
2021-05-27,E92000001,England,56550138,3075.0,2456.714285714286,8.0,83.0,742.0,241150.0,356165.0,111.0,31502004.0,19950761.0,-26.983730256098678,0.7301626974390132,-26.33237946264262,0.7366762053735738,-7.57591268380742,7.493412013587453,-29.0,62.5,4.0,0.0,2.0,4.0
2021-05-28,E92000001,England,56550138,2929.0,2607.714285714286,6.0,92.0,743.0,180066.0,371240.0,83.0,31682070.0,20322001.0,-27.433755571913466,0.7256624442808653,-17.561556133924555,0.8243844386607544,-8.183852989116147,5.8399110960514475,-30.0,62.5,4.0,0.0,2.0,4.0
2021-05-29,E92000001,England,56550138,2462.0,2730.0,7.0,69.0,748.0,161674.0,378517.0,85.0,31843744.0,20700518.0,-10.292209268963655,0.8970779073103634,-11.025581144002196,0.889744188559978,-14.768519784309259,0.30622593780488516,-10.0,62.5,4.0,0.0,2.0,4.0
2021-05-30,E92000001,England,56550138,2598.0,2827.1428571428573,8.0,80.0,755.0,99678.0,173309.0,31.0,31943422.0,20873827.0,-6.560163520689836,0.9343983647931017,-6.169770580296896,0.938302294197031,-0.06638887428361112,-1.6740931583036847,-7.0,62.5,4.0,0.0,2.0,4.0
2021-05-31,E92000001,England,56550138,3170.0,2887.1428571428573,8.0,98.0,773.0,71912.0,147860.0,31.0,32015334.0,21021687.0,-72.45989765595029,0.2754010234404971,-31.77065419960157,0.6822934580039843,2.6776609355556724,12.611553212869003,-71.0,62.5,4.0,0.0,2.0,4.0
2021-06-01,E92000001,England,56550138,4515.0,3132.5714285714284,3.0,115.0,776.0,73683.0,270059.0,58.0,32089017.0,21291746.0,-42.63782564089582,0.5736217435910418,-23.06562969194548,0.7693437030805452,2.2008383429436065,8.096752305524236,-43.0,62.5,4.0,0.0,2.0,4.0
2021-06-02,E92000001,England,56550138,5039.0,3398.285714285714,12.0,101.0,801.0,133073.0,281284.0,96.0,32222090.0,21573030.0,-41.354898253143865,0.5864510174685613,-26.544897792266212,0.7345510220773379,-1.5410446278867331,9.05536890010574,-42.0,62.5,4.0,0.0,2.0,4.0
2021-06-03,E92000001,England,56550138,5131.0,3692.0,10.0,93.0,779.0,160998.0,309263.0,136.0,32383088.0,21882293.0,-40.78993857020173,0.5921006142979828,-27.01411074305811,0.7298588925694189,-0.4940639769587136,8.958483621641516,-41.0,62.5,4.0,0.0,2.0,4.0
2021-06-04,E92000001,England,56550138,4886.0,3971.5714285714284,11.0,96.0,805.0,150580.0,321297.0,104.0,32533668.0,22203590.0,-39.04688130258305,0.6095311869741695,-23.39890080679554,0.7660109919320446,-9.869598676177624,8.154757523178576,-39.0,62.5,4.0,0.0,2.0,4.0
2021-06-05,E92000001,England,56550138,3964.0,4186.142857142857,6.0,96.0,782.0,182637.0,425377.0,111.0,32716305.0,22628967.0,-7.1716025365148175,0.9282839746348518,-15.666537702064018,0.8433346229793598,-17.78312637654743,0.7493954875533823,-7.0,51.39,4.0,0.0,0.0,4.0
2021-06-06,E92000001,England,56550138,4730.0,4490.714285714285,7.0,121.0,807.0,101062.0,217525.0,45.0,32817367.0,22846492.0,-3.2241788912841542,0.9677582110871584,-16.361400587716375,0.8363859941228362,-12.704255685834633,0.9029400424137266,-3.0,51.39,4.0,0.0,0.0,4.0
2021-06-07,E92000001,England,56550138,6791.0,5008.0,5.0,131.0,860.0,85300.0,234748.0,81.0,32902667.0,23081240.0,-28.23181466032343,0.7176818533967657,-26.31890886890887,0.7368109113109114,-7.345408830935146,7.5766942284486145,-31.0,51.39,4.0,0.0,0.0,4.0
2021-06-08,E92000001,England,56550138,6630.0,5310.142857142857,9.0,147.0,879.0,107301.0,247603.0,113.0,33009968.0,23328843.0,-26.951566253759236,0.7304843374624077,-26.953998486893223,0.7304600151310678,-6.708936239199397,7.607457195176494,-29.0,51.39,4.0,0.0,0.0,4.0
2021-06-09,E92000001,England,56550138,6919.0,5578.714285714285,6.0,158.0,876.0,152337.0,253372.0,135.0,33162305.0,23582215.0,-26.681023930585337,0.7331897606941467,-27.383451782135992,0.7261654821786401,-8.16513019144598,7.818988889602925,-29.0,51.39,4.0,0.0,0.0,4.0
2021-06-10,E92000001,England,56550138,6718.0,5805.428571428572,11.0,162.0,906.0,177039.0,250679.0,169.0,33339344.0,23832894.0,-26.47076807208386,0.7352923192791614,-27.339729860782494,0.726602701392175,-8.20216771532561,7.833649099438572,-28.0,51.39,4.0,0.0,0.0,4.0
2021-06-11,E92000001,England,56550138,6510.0,6037.428571428572,6.0,144.0,884.0,178995.0,249034.0,124.0,33518339.0,24081928.0,-25.35889855758277,0.7464110144241722,-22.796159104053842,0.7720384089594616,-11.968123543123543,6.5013233842181215,-27.0,51.39,4.0,0.0,0.0,4.0
2021-06-12,E92000001,England,56550138,5422.0,6245.714285714285,14.0,137.0,915.0,234227.0,279954.0,102.0,33752566.0,24361882.0,-5.6579026074640115,0.9434209739253598,-18.311092124250017,0.8168890787574998,-17.840809628967524,1.0475721646774279,-5.0,51.39,4.0,0.0,0.0,4.0
2021-06-13,E92000001,England,56550138,6075.0,6437.857142857143,8.0,187.0,947.0,125177.0,152282.0,51.0,33877743.0,24514164.0,-2.795074662179925,0.9720492533782007,-14.065420544367912,0.8593457945563209,-16.88847395294764,-0.03247658773974563,-3.0,51.39,4.0,0.0,0.0,4.0
2021-06-14,E92000001,England,56550138,8941.0,6745.0,10.0,185.0,993.0,110792.0,164307.0,104.0,33988535.0,24678471.0,-28.06483933545337,0.7193516066454663,-26.330952819110717,0.7366904718088929,-9.65087324955746,7.630377208885981,-30.0,51.39,4.0,0.0,0.0,4.0
2021-06-15,E92000001,England,56550138,9153.0,7105.428571428572,15.0,188.0,1030.0,152695.0,172601.0,136.0,34141230.0,24851072.0,-26.662090102879578,0.7333790989712042,-26.860607082975505,0.7313939291702449,-7.49521122152701,7.564416480205954,-29.0,51.39,4.0,0.0,0.0,4.0
2021-06-16,E92000001,England,56550138,9411.0,7461.428571428572,12.0,177.0,1057.0,173847.0,178932.0,104.0,34315077.0,25030004.0,-27.126429613271718,0.7287357038672828,-27.610372084056294,0.723896279159437,-9.311648439280019,7.747487210645106,-29.0,51.39,4.0,0.0,0.0,4.0
